cset: --> last message, executed args into cpuset "/user", new pid is: 75972
L,N,embed_dim,num_heads,use_separate_proj_weight,qkv_same,kv_same,device,avg(us),std(us),num_runs,data/avg(us)
32,64,16,8,False,False,True,cpu,7666,139,261,34
32,64,16,16,False,False,True,cpu,14048,33,143,37
32,64,256,1,False,False,True,cpu,50056,2959,40,10
32,64,256,8,False,False,True,cpu,56485,1003,36,74
32,64,256,16,False,False,True,cpu,64321,792,32,130
32,64,1024,1,False,False,True,cpu,400504,22517,5,5
32,64,1024,8,False,False,True,cpu,409886,9220,5,40
32,64,1024,16,False,False,True,cpu,422537,4986,5,79
32,256,16,1,False,False,True,cpu,5207,67,385,25
32,256,16,8,False,False,True,cpu,29214,51,69,35
32,256,16,16,False,False,True,cpu,57437,100,35,36
32,256,256,1,False,False,True,cpu,205365,9205,10,10
32,256,256,8,False,False,True,cpu,238823,6309,9,70
32,256,256,16,False,False,True,cpu,265956,1165,8,126
32,256,1024,1,False,False,True,cpu,1772175,56683,2,4
32,256,1024,8,False,False,True,cpu,1811192,21593,2,37
32,256,1024,16,False,False,True,cpu,1830332,19566,2,73
16,1,16,1,False,False,False,cpu,336,6,5952,0
16,1,16,8,False,False,False,cpu,379,7,5271,5
16,1,16,16,False,False,False,cpu,414,8,4824,9
16,1,256,1,False,False,False,cpu,829,296,2413,4
16,1,256,8,False,False,False,cpu,801,92,2497,40
16,1,256,16,False,False,False,cpu,849,63,2354,77
16,1,1024,1,False,False,False,cpu,3975,18,504,4
16,1,1024,8,False,False,False,cpu,5336,1024,375,24
16,1,1024,16,False,False,False,cpu,4457,403,449,58
16,64,16,1,False,False,False,cpu,808,9,2475,20
16,64,16,8,False,False,False,cpu,2924,17,684,44
16,64,16,16,False,False,False,cpu,6061,21,330,43
16,64,256,1,False,False,False,cpu,23622,2268,85,11
16,64,256,8,False,False,False,cpu,24929,844,81,84
16,64,256,16,False,False,False,cpu,27881,546,72,150
16,64,1024,1,False,False,False,cpu,182492,12624,12,5
16,64,1024,8,False,False,False,cpu,192615,5538,11,43
16,64,1024,16,False,False,False,cpu,195565,3579,11,85
16,256,16,1,False,False,False,cpu,2181,14,917,30
16,256,16,8,False,False,False,cpu,10281,31,195,50
16,256,16,16,False,False,False,cpu,22435,53,90,46
16,256,256,1,False,False,False,cpu,87072,4695,23,12
16,256,256,8,False,False,False,cpu,98121,1328,21,85
16,256,256,16,False,False,False,cpu,108750,1118,19,154
16,256,1024,1,False,False,False,cpu,756934,23450,3,5
16,256,1024,8,False,False,False,cpu,791711,3383,3,42
16,256,1024,16,False,False,False,cpu,802936,191,3,83
32,1,16,1,False,False,False,cpu,345,6,5797,1
32,1,16,8,False,False,False,cpu,456,8,4384,8
32,1,16,16,False,False,False,cpu,553,8,3615,14
32,1,256,1,False,False,False,cpu,1207,402,1657,6
32,1,256,8,False,False,False,cpu,1284,142,1557,51
32,1,256,16,False,False,False,cpu,1492,106,1341,87
32,1,1024,1,False,False,False,cpu,6798,1877,295,4
32,1,1024,8,False,False,False,cpu,9995,1602,201,26
32,1,1024,16,False,False,False,cpu,8630,882,232,60
32,64,16,1,False,False,False,cpu,1552,15,1289,21
32,64,16,8,False,False,False,cpu,7500,24,267,34
32,64,16,16,False,False,False,cpu,13990,41,143,37
32,64,256,1,False,False,False,cpu,51952,2889,39,10
32,64,256,8,False,False,False,cpu,54866,1107,37,76
32,64,256,16,False,False,False,cpu,62778,704,32,133
32,64,1024,1,False,False,False,cpu,372271,13952,6,5
32,64,1024,8,False,False,False,cpu,405910,11292,5,41
32,64,1024,16,False,False,False,cpu,427038,8076,5,78
32,256,16,1,False,False,False,cpu,5015,20,399,26
32,256,16,8,False,False,False,cpu,30157,51,67,34
32,256,16,16,False,False,False,cpu,58623,125,35,35
32,256,256,1,False,False,False,cpu,202511,6086,10,10
32,256,256,8,False,False,False,cpu,227697,4494,9,73
32,256,256,16,False,False,False,cpu,261502,4173,8,128
32,256,1024,1,False,False,False,cpu,1698015,90537,2,4
32,256,1024,8,False,False,False,cpu,1741366,5256,2,38
32,256,1024,16,False,False,False,cpu,1769487,7451,2,75
16,1,16,1,True,True,False,cuda,614,12,3254,0
16,1,16,8,True,True,False,cuda,645,11,3097,3
16,1,16,16,True,True,False,cuda,645,10,3097,6
16,1,256,1,True,True,False,cuda,635,9,3148,6
16,1,256,8,True,True,False,cuda,670,10,2984,48
16,1,256,16,True,True,False,cuda,669,10,2988,97
16,1,1024,1,True,True,False,cuda,638,10,3132,25
16,1,1024,8,True,True,False,cuda,672,10,2976,195
16,1,1024,16,True,True,False,cuda,672,10,2977,390
16,64,16,1,True,True,False,cuda,671,15,2980,24
16,64,16,8,True,True,False,cuda,670,10,2981,195
